"B26_TLS"	"B26_NonTLS"	"B49_TLS"	"B49_NonTLS"	"C01_TLS"	"C01_NonTLS"	"P131_TLS"	"P131_NonTLS"	"c_2_TLS"	"c_2_NonTLS"	"c_2_50_TLS"	"c_2_50_NonTLS"	"c_3_TLS"	"c_3_NonTLS"	"c_4_TLS"	"c_4_NonTLS"	"c_7_TLS"	"c_7_NonTLS"	"c_20_TLS"	"c_20_NonTLS"	"c_34_TLS"	"c_34_NonTLS"	"c_36_TLS"	"c_36_NonTLS"	"c_39_TLS"	"c_39_NonTLS"	"c_45_TLS"	"c_45_NonTLS"	"c_51_TLS"	"c_51_NonTLS"	"a_1_NonTLS"	"a_3_TLS"	"a_3_NonTLS"	"a_15_TLS"	"a_15_NonTLS"	"a_17_NonTLS"	"b_1_TLS"	"b_1_NonTLS"	"b_7_NonTLS"	"b_18_TLS"	"c_5_TLS"	"c_5_NonTLS"	"c_23_TLS"	"c_23_NonTLS"	"c_57_TLS"	"c_57_NonTLS"
"CE1"	0.114616571988112	0.0388291225944769	0.173234811194454	0.20125478811981	0.0592585468087564	0.0364281151285398	0.067779120383375	0.063107293636088	0.107271609918523	0.0793725123018529	0.291661552668066	1.70063905073724e-11	0.180726788043464	0.242430349817254	0.0535262389231731	0.0602940438814009	0.223149314226044	0.116967339166081	0.0587825983154694	0.062535720063206	0.0361327323213922	0.0185830190406025	0.258552788759306	0.321786215283691	0.133093541763618	0.0201565039484833	0.112584830990593	0.00299641507449309	0.22683085473015	0.347399517601453	0.132746280138344	0.243242614317297	0.29704073532079	0.126791326673474	0.105566774572338	0.103440337241654	0.208752796364081	0.165020456295264	0.0770859343379564	0.169913128402881	0.228760485205457	0.214541619395147	0.107408988843614	0.088491173721029	0.445951628323426	0.414715892083282
"CE2"	0.0128689032530446	0.0230587677642388	0.0442243629264267	0.141020663453965	0.262162984783595	0.277058625873883	0.0500950165973737	0.0163383908566217	0.080350344379557	0.0896809799561063	9.25798275133345e-10	0.420541502922985	0.160930283489297	0.157249358256965	0.0555278856578202	0.0759996843006365	0.0219185391479562	0.131703224341739	0.0515134090283106	0.0576440877256033	0.0207573619419701	0.135309057737061	0.0378595989500601	0.0923168807412541	0.109635354333573	0.0786195240420507	0.0373604820660905	0.0888102460497458	0.0203185010848137	0.10128889867558	0.0535830844047745	0.00986363095499255	0.0592180542257415	0.00403787180173762	0.0136186568473587	0.0225065484035696	0.0679571519472055	0.101997153464145	0.0152910615991713	0.0405521345330382	0.10075857246736	0.243474877212012	0.127958965202897	0.0620012063186394	0.0749192728396045	0.121408397414175
"CE3"	0.0326719890894117	0.00513647119525289	0.0715623478910809	0.11780435343632	0.0508707409655264	0.0151377643299538	0.0325071022511016	0.00293564434107527	0.234531903769836	0.228340985578412	4.11676142660628e-12	0.00997061283967404	0.249236509742082	0.217999323309574	0.0279654353494126	0.0445239855421528	0.113356369329387	0.0577777714970096	9.46868044918975e-14	1.5020735888653e-13	0.0375520859822341	0.0399252606509413	0.0087098709905949	0.0197043433446916	0.0916718266159114	3.83306348180197e-14	0.0129300908537459	0.0116012028422141	0.0376256116458715	0.00624960464403537	0.0570443271418139	0.203971999774035	0.180372435060276	0.0471521397732787	0.0780040745504109	1.51013854267304e-14	0.149029917337745	0.111002506286868	0.0628201144536661	0.170634003653169	0.215052910764684	0.21275466244527	0.11848491696154	0.0899389645888307	0.0424826673150104	0.0243365169908252
"CE4"	0.0298190001599066	0.139436362243092	0.0129264846900985	0.0801406539702426	0.090419938905912	0.165731426050598	0.032774347590687	0.0528065689781188	0.127562369037761	0.290946601141378	4.08420178572835e-12	0.069265079991686	0.0394367998066713	0.022929725464493	0.214105414583932	0.199981396578787	0.027554765144374	0.213961981493877	0.214909034015232	0.321898736276078	0.123192320077897	0.316442183930375	0.148200584816817	0.112111501052874	0.148327118877157	0.452742956785962	0.0873491406529335	0.329792932016781	0.0270471638950656	0.0806787635059527	0.101465589128116	0.0142160950332538	0.0972610874669152	0.00891341430554823	0.0534586320854515	0.082494040247237	0.101197134700241	0.19508574642306	0.12835816874461	0.0687064600602517	0.0755849893094635	0.0432672841865029	0.254916528063592	0.36268612829274	0.108393450362278	0.110867462853746
"CE5"	0.0396538888227719	0.228256624019737	0.041613363121027	0.0745354716572112	0.124057251914128	0.157693339413669	0.101326347494827	0.198150752465244	0.0968472808894088	0.141963296861256	4.36319037104082e-12	0.0121093831381013	0.043678868508103	0.0557845556405103	0.0373909946312986	0.0958744830930845	0.0604193891450848	0.1396216209035	0.314877485160514	0.178823806315153	0.126314594575156	0.264522201243691	0.116040071842678	0.139561389749542	0.0832840446559354	0.1114491861735	0.167820399307642	0.156519400823834	0.0419564761620913	0.0381211028202262	0.0659768587429597	0.0186670543793534	0.0221862890646534	0.0743524066605915	0.0624187401886242	0.0846635528651902	0.0546190927477463	0.0667004284232708	0.154758297772526	0.0470491146564767	0.166815875358878	0.1637857979422	0.0412581581472397	0.253111201745745	0.231235276702724	0.245911140066902
"CE6"	0.0308857079766915	0.00113199628488402	0.0346428882018129	0.0422423810887717	0.0339278865127241	0.0196652846651041	0.112599890642925	0.164775510272321	0.105862451510865	0.126524613143987	0.106824144923896	0.139477467027646	0.0201392269638542	0.0169080489184564	0.134400431090367	0.238014375917661	0.239314726571326	0.108088254630842	0.0770991765646847	0.196523105474752	0.0432677958928218	0.0672559810791723	0.188252476434825	0.105926161194768	0.104320263615882	0.127782209844726	0.14537646257349	0.112513466587321	0.197882628763617	0.315735014099296	0.311805694243072	0.311261074768843	0.301514253277824	0.140778538399134	0.228235968944322	0.319095200625512	0.140760827818028	0.162156736317786	0.10323559475145	0.0574843619469974	0.00162665953038926	0.0129323124753346	0.00170209898131487	0.0418315574921664	0.0472594097601154	0.0610807743598352
"CE7"	0.117377912949129	0.168705408179916	0.0887219113797474	0.106808497789442	0.149269144174708	0.122465699331316	0.227706290958152	0.307087248408639	1.71519709262227e-14	0.00134845545074963	3.28987921880739e-12	1.02454599140275e-12	0.013155603916296	0.0866491645034002	0.0357974916285726	0.106750795163886	0.0984295159258825	0.0890495075017779	7.91528884203693e-14	0.0063759951197174	0.00682205659539956	0.00135557575391751	0.0266445134511634	0.0180382747260395	0.00622715574330834	0.0315969291927128	0.0533760268396218	0.000257367268961007	0.137027798705085	0.0653063672454197	0.110859481536189	0.00602598375945385	0.0073402193209464	0.124604431357771	0.152847481170706	0.170348909579975	0.0639798901430131	0.0845926410301696	0.11797721659473	0.132740230054021	7.05466588978893e-14	1.03474845409813e-13	4.45191093457399e-13	2.27532869170315e-13	6.46348039390415e-14	7.88246034449488e-14
"CE8"	0.109649288016321	0.362280509213172	0.0814383631071677	0.160305937572763	0.150906197077147	0.198305931258981	0.144021984353316	0.192424525762874	0.0502689435841474	0.0328536791181653	0.525495314132121	0.299241113891795	0.0163090507579178	0.0252662400655571	0.120130560518901	0.167656290844842	0.0435051245325966	0.136732631522768	0.137087566576369	0.167285209087056	0.0988168706596544	0.130338485852191	0.134316331881892	0.188188775235558	0.127649342568859	0.177012560265072	0.066296098837589	0.169704605785436	0.0629242578760283	0.0355790736813703	0.0703482594585563	0.0251657277413789	0.0291760567145961	0.0823020786035979	0.0915063461219497	0.204973462740097	0.04564748285939	0.0727613530283691	0.152004264404775	0.0822130422515636	0.0322115908517608	0.0363324629248222	0.348270343798282	0.10193976784008	0.0255562589332409	0.021575184553778
"CE9"	0.163368698632784	0.0331647385052078	0.223056569846184	0.0544287849024149	0.0394179253642738	0.00445810876163942	0.0745055267716287	0.00075939669852055	0.0682945680867356	0.00411663081008029	4.0039077025353e-12	1.23829747061019e-12	0.171348142312704	0.163883742272313	0.106889072095508	0.00971476571782249	0.0882003647308357	0.00609766894239414	1.00829315592637e-12	0.00575059187368725	0.0792166170841645	0.00148914447262165	0.010882124366133	0.00236645867155763	0.0828128930455041	0.000640129747414628	0.174410634513994	0.0992566734798641	0.0759138578333759	0.00026188554777804	0.074584592429296	0.0690456864144705	0.000286068617624076	0.198475211426125	0.162665920023648	0.00607830101601771	0.114233157297243	0.0380373997626551	0.170879781230036	0.152442572156292	0.163131975860276	0.0729109834184813	5.32265400706143e-13	2.67401622753858e-13	0.0140056144231943	0.0001046316772867
"CE10"	0.349088039111827	2.18473515353927e-14	0.228578897642001	0.0214584680090587	0.0397093834932291	0.00305570518631581	0.156684372956615	0.00161466858049836	0.129010528823149	0.00485224563801313	0.0760189873302605	0.0493948401688436	0.10503872645961	0.010899491751476	0.214266475521015	0.00119017895972662	0.0841518912465138	1.14245040923794e-14	0.145730730338239	0.00316274806459773	0.427927564869311	0.0247790902394274	0.0705416385065301	2.40298938569672e-14	0.112978458780251	3.93052712719835e-14	0.142495833364301	0.0285476900713503	0.172472849303902	0.0093797721788889	0.0215858327768786	0.0985401328569223	0.00560480093063358	0.192592580998743	0.0516774054951916	0.0063996472807326	0.0538225487853072	0.00264557896841292	0.0175895661110782	0.0782649522853092	0.0160569406516605	1.25637857074582e-13	5.42637072303777e-13	2.7440222426651e-13	0.010196421340341	9.11992724722524e-14
