"ID"	"MaxEcotype"	"AssignmentP"	"AssignmentQ"	"AssignedToEcotypeStates"	"Ecotype"	"Histology"
"b_1_TLS"	"b_1_TLS"	"CE1"	0.0312488894661362	0.0624977789322723	TRUE	"CE1"	"TLS"
"B49_NonTLS"	"B49_NonTLS"	"CE1"	0.00202319652249073	0.00581669000216085	TRUE	"CE1"	"NonTLS"
"c_3_NonTLS"	"c_3_NonTLS"	"CE1"	0.0385373919894167	0.0709088012605268	TRUE	"CE1"	"NonTLS"
"c_36_NonTLS"	"c_36_NonTLS"	"CE1"	0.000558218515376411	0.00372590182100117	TRUE	"CE1"	"NonTLS"
"c_36_TLS"	"c_36_TLS"	"CE1"	0.00178288196142527	0.00581669000216085	TRUE	"CE1"	"TLS"
"c_51_NonTLS"	"c_51_NonTLS"	"CE1"	0.00517648354738044	0.0125325391147105	TRUE	"CE1"	"NonTLS"
"c_51_TLS"	"c_51_TLS"	"CE1"	0.00516845392548764	0.0125325391147105	TRUE	"CE1"	"TLS"
"b_18_TLS"	"b_18_TLS"	"CE3"	0.104104615188781	0.171029010667283	TRUE	"CE3"	"TLS"
"c_2_TLS"	"c_2_TLS"	"CE3"	0.0527973345022236	0.0934106687347032	TRUE	"CE3"	"TLS"
"c_3_TLS"	"c_3_TLS"	"CE3"	8.6889278504249e-07	3.99690681119545e-05	TRUE	"CE3"	"TLS"
"c_2_NonTLS"	"c_2_NonTLS"	"CE4"	0.127328990139122	0.201970122289642	TRUE	"CE4"	"NonTLS"
"a_1_NonTLS"	"a_1_NonTLS"	"CE6"	0.000566985059717569	0.00372590182100117	TRUE	"CE6"	"NonTLS"
"a_15_NonTLS"	"a_15_NonTLS"	"CE6"	4.75363921320864e-05	0.000728891346025324	TRUE	"CE6"	"NonTLS"
"a_17_NonTLS"	"a_17_NonTLS"	"CE6"	0.000718857019769326	0.00411828149842043	TRUE	"CE6"	"NonTLS"
"a_3_NonTLS"	"a_3_NonTLS"	"CE6"	0.00795489012992733	0.0174249974274599	TRUE	"CE6"	"NonTLS"
"a_3_TLS"	"a_3_TLS"	"CE6"	0.00135114493838748	0.00565024246962037	TRUE	"CE6"	"TLS"
"c_4_NonTLS"	"c_4_NonTLS"	"CE6"	0.00171722467888196	0.00581669000216085	TRUE	"CE6"	"NonTLS"
"c_7_TLS"	"c_7_TLS"	"CE6"	0.00103412663162555	0.00475698250547755	TRUE	"CE6"	"TLS"
"P131_NonTLS"	"P131_NonTLS"	"CE7"	0.00629307168049127	0.0144740648651299	TRUE	"CE7"	"NonTLS"
"P131_TLS"	"P131_TLS"	"CE7"	0.0106176343152518	0.0222005081137084	TRUE	"CE7"	"TLS"
"B26_NonTLS"	"B26_NonTLS"	"CE8"	0.0350673390996317	0.0672123999409608	TRUE	"CE8"	"NonTLS"
"a_15_TLS"	"a_15_TLS"	"CE9"	0.000805750727951823	0.00411828149842043	TRUE	"CE9"	"TLS"
"B26_TLS"	"B26_TLS"	"CE10"	2.15471011378192e-05	0.000495583326169842	TRUE	"CE10"	"TLS"
"B49_TLS"	"B49_TLS"	"CE10"	0.00197387314551273	0.00581669000216085	TRUE	"CE10"	"TLS"
"c_34_TLS"	"c_34_TLS"	"CE10"	9.41379123087836e-05	0.00108258599155101	TRUE	"CE10"	"TLS"
"c_4_TLS"	"c_4_TLS"	"CE10"	0.000510264903617762	0.00372590182100117	TRUE	"CE10"	"TLS"
