"ID"	"State"	"InitialState"
"c_7_TLS"	"S01"	"IS01"
"a_3_TLS"	"S01"	"IS01"
"B49_NonTLS"	"S02"	"IS02"
"c_3_TLS"	"S02"	"IS02"
"c_3_NonTLS"	"S02"	"IS02"
"c_36_TLS"	"S02"	"IS02"
"c_36_NonTLS"	"S02"	"IS02"
"c_51_TLS"	"S02"	"IS02"
"c_51_NonTLS"	"S02"	"IS02"
"a_3_NonTLS"	"S02"	"IS02"
"b_1_TLS"	"S02"	"IS02"
"B26_TLS"	"S03"	"IS03"
"B49_TLS"	"S03"	"IS03"
"a_15_TLS"	"S03"	"IS03"
"a_15_NonTLS"	"S03"	"IS03"
"C01_TLS"	"S04"	"IS05"
"C01_NonTLS"	"S04"	"IS05"
"P131_TLS"	"S04"	"IS05"
"P131_NonTLS"	"S04"	"IS05"
"a_17_NonTLS"	"S04"	"IS05"
"b_18_TLS"	"S04"	"IS05"
"c_2_NonTLS"	"S05"	"IS06"
"c_4_TLS"	"S05"	"IS06"
"c_4_NonTLS"	"S05"	"IS06"
"c_7_NonTLS"	"S05"	"IS06"
"c_39_NonTLS"	"S05"	"IS06"
"b_1_NonTLS"	"S05"	"IS06"
