"ID"	"State"	"InitialState"
"C01_TLS"	"S01"	"IS05"
"C01_NonTLS"	"S01"	"IS05"
"c_4_TLS"	"S02"	"IS04"
"c_4_NonTLS"	"S02"	"IS04"
"c_51_TLS"	"S02"	"IS04"
"c_51_NonTLS"	"S02"	"IS04"
"a_1_NonTLS"	"S02"	"IS04"
"a_3_TLS"	"S02"	"IS04"
"a_3_NonTLS"	"S02"	"IS04"
"a_15_TLS"	"S02"	"IS04"
"a_15_NonTLS"	"S02"	"IS04"
"a_17_NonTLS"	"S02"	"IS04"
"c_3_NonTLS"	"S03"	"IS07"
"c_7_TLS"	"S03"	"IS07"
"c_7_NonTLS"	"S03"	"IS07"
"c_36_TLS"	"S03"	"IS07"
"c_36_NonTLS"	"S03"	"IS07"
"b_1_TLS"	"S03"	"IS07"
"b_1_NonTLS"	"S03"	"IS07"
"b_18_TLS"	"S03"	"IS07"
"B26_TLS"	"S04"	"IS08"
"B49_TLS"	"S04"	"IS08"
"c_3_TLS"	"S04"	"IS08"
"B26_NonTLS"	"S05"	"IS01"
"B49_NonTLS"	"S05"	"IS01"
"P131_TLS"	"S05"	"IS01"
"P131_NonTLS"	"S05"	"IS01"
