"ID"	"State"	"InitialState"
"c_4_TLS"	"S01"	"IS02"
"c_4_NonTLS"	"S02"	"IS11"
"c_7_TLS"	"S02"	"IS11"
"a_3_TLS"	"S02"	"IS11"
"a_15_NonTLS"	"S02"	"IS11"
"a_17_NonTLS"	"S02"	"IS11"
"b_1_NonTLS"	"S02"	"IS11"
"B49_NonTLS"	"S03"	"IS09"
"c_36_TLS"	"S03"	"IS09"
"c_36_NonTLS"	"S03"	"IS09"
"P131_TLS"	"S04"	"IS03"
"P131_NonTLS"	"S04"	"IS03"
"c_51_TLS"	"S04"	"IS03"
"b_18_TLS"	"S04"	"IS03"
"B26_NonTLS"	"S05"	"IS08"
"C01_NonTLS"	"S06"	"IS10"
"c_7_NonTLS"	"S06"	"IS10"
"c_34_NonTLS"	"S06"	"IS10"
"B26_TLS"	"S07"	"IS01"
"B49_TLS"	"S07"	"IS01"
"c_34_TLS"	"S07"	"IS01"
"a_15_TLS"	"S07"	"IS01"
"b_1_TLS"	"S07"	"IS01"
"C01_TLS"	"S08"	"IS05"
"c_3_TLS"	"S08"	"IS05"
"c_3_NonTLS"	"S08"	"IS05"
