"ID"	"State"	"InitialState"
"P131_NonTLS"	"S01"	"IS04"
"c_7_TLS"	"S01"	"IS04"
"c_7_NonTLS"	"S01"	"IS04"
"c_36_TLS"	"S01"	"IS04"
"a_15_NonTLS"	"S01"	"IS04"
"B49_NonTLS"	"S02"	"IS06"
"B26_NonTLS"	"S03"	"IS08"
"C01_NonTLS"	"S03"	"IS08"
"P131_TLS"	"S03"	"IS08"
"B26_TLS"	"S04"	"IS02"
"B49_TLS"	"S04"	"IS02"
"c_34_TLS"	"S04"	"IS02"
"a_15_TLS"	"S04"	"IS02"
"c_36_NonTLS"	"S05"	"IS05"
"c_51_TLS"	"S05"	"IS05"
"a_3_TLS"	"S05"	"IS05"
"b_1_TLS"	"S05"	"IS05"
"C01_TLS"	"S06"	"IS07"
"c_2_TLS"	"S06"	"IS07"
"c_3_TLS"	"S06"	"IS07"
"c_3_NonTLS"	"S06"	"IS07"
"a_3_NonTLS"	"S06"	"IS07"
"b_18_TLS"	"S06"	"IS07"
