"ID"	"State"	"InitialState"
"B26_TLS"	"S01"	"IS02"
"B49_TLS"	"S01"	"IS02"
"c_4_TLS"	"S01"	"IS02"
"c_34_TLS"	"S01"	"IS02"
"c_51_TLS"	"S01"	"IS02"
"b_1_TLS"	"S02"	"IS08"
"b_7_NonTLS"	"S02"	"IS08"
"a_15_TLS"	"S03"	"IS05"
"a_15_NonTLS"	"S03"	"IS05"
"b_18_TLS"	"S03"	"IS05"
"c_2_TLS"	"S04"	"IS11"
"c_2_NonTLS"	"S04"	"IS11"
"c_3_TLS"	"S04"	"IS11"
"c_3_NonTLS"	"S04"	"IS11"
"c_7_TLS"	"S04"	"IS11"
"a_3_TLS"	"S05"	"IS06"
"a_17_NonTLS"	"S05"	"IS06"
"c_36_TLS"	"S06"	"IS03"
"a_3_NonTLS"	"S06"	"IS03"
"B49_NonTLS"	"S07"	"IS01"
"C01_NonTLS"	"S07"	"IS01"
"c_7_NonTLS"	"S07"	"IS01"
"C01_TLS"	"S08"	"IS04"
"P131_TLS"	"S08"	"IS04"
"P131_NonTLS"	"S08"	"IS04"
"c_4_NonTLS"	"S09"	"IS09"
